Name,中文名,Advisor,Starting year,Graduation year,Graduation university,Faculty position,Personal website,Other news,Doctoral thesis,Latitude,Longitude
Arie Kaufman,,Samuel Bergman,1973,1977,Ben-Gurion University of the Negev,Stony Brook University,https://www3.cs.stonybrook.edu/~ari/,Computer Science Tree - Arie Kaufman Family Tree (academictree.org),,40.9027,-73.1338
Huamin Qu,屈华民,Arie Kaufman,1997,2004,Stony Brook University,Hong Kong University of Science and Technology,http://huamin.org/,,O-buffer: a framework for sample-based graphics,22.3375,114.263
Ming-Yuen Chan,陳明遠,Huamin Qu,2004,2009,Hong Kong University of Science and Technology,,https://www.linkedin.com/in/joshmychan/,https://www.directory.gov.hk/details.jsp?dn=cn%3D1603005467%2Cou%3DITIB%2Cou%3DPeople%2Co%3DGOVERNMENT%2Cc%3DHK&lang=eng,,,
Hong Zhou,周虹,Huamin Qu,2004,2009,Hong Kong University of Science and Technology,Shenzhen University,https://csse.szu.edu.cn/pages/user/index?id=537,,,22.5393,113.9336
Yingcai Wu,巫英才,Huamin Qu,2004,2009,Hong Kong University of Science and Technology,Zhejiang University,http://www.ycwu.org/,,,30.2582,120.1192
Weiwei Cui,崔为炜,Huamin Qu,2006,2011,Hong Kong University of Science and Technology,,https://www.microsoft.com/en-us/research/people/weiweicu/,,,,
Nan Cao,曹楠,Huamin Qu,2010,2012,Hong Kong University of Science and Technology,Tongji University,http://nancao.org/,,,31.2674,121.5221
Jiansu Pu,蒲剑苏,Huamin Qu,2010,2013,Hong Kong University of Science and Technology,University of Electronic Science and Technology of China,https://www.scse.uestc.edu.cn/info/1081/11958.htm,,,30.7507,103.9301
Conglei Shi,石丛磊,Huamin Qu,2010,2014,Hong Kong University of Science and Technology,,https://www.linkedin.com/in/conglei-shi,,,,
Panpan Xu,徐盼盼,Huamin Qu,2010,2014,Hong Kong University of Science and Technology,,https://lliquid.github.io/homepage/,https://www.linkedin.com/in/panpan-xu,,,
Yixian Zheng,郑毅贤,Huamin Qu,2013,2016,Hong Kong University of Science and Technology,,https://www.linkedin.com/in/yixian-zheng-30249048,,,,
Wenchao Wu,吴文超,Huamin Qu,2013,2016,Hong Kong University of Science and Technology,,https://www.linkedin.com/in/wenchao-wu-7603a285,,,,
Yanhong Wu,武延宏,Huamin Qu,2014,2017,Hong Kong University of Science and Technology,,http://yhwu.me/,https://www.linkedin.com/in/yanhongwu,,,
Siwei Fu,傅四维,Huamin Qu,2014,2018,Hong Kong University of Science and Technology,Zhejiang University,https://person.zju.edu.cn/siwei,,,30.2582,120.1192
Yong Wang,王勇,Huamin Qu,2014,2018,Hong Kong University of Science and Technology,Nanyang Technological University,https://yong-wang.org/,,,1.3483,103.6831
Yun Wang,王韵,Huamin Qu,2013,2018,Hong Kong University of Science and Technology,,https://www.microsoft.com/en-us/research/people/wangyun/,,,,
Qing Chen,陈晴,Huamin Qu,2013,2018,Hong Kong University of Science and Technology,Tongji University,http://qchen.cc,https://engineering.nyu.edu/faculty/qing-chen,,31.2674,121.5221
Yuanzhe Chen,陈远哲,Huamin Qu,2014,2018,Hong Kong University of Science and Technology,,https://www.linkedin.com/in/%E8%BF%9C%E5%93%B2-%E9%99%88-906658b4,,,,
Xun Zhao,赵珣,Huamin Qu,2016,2018,Hong Kong University of Science and Technology,,https://emmaxunzhao.github.io/,,,,
Quan Li,李权,Huamin Qu,2015,2018,Hong Kong University of Science and Technology,ShanghaiTech University,https://faculty.sist.shanghaitech.edu.cn/liquan/,,,31.1794,121.5902
Dongyu Liu,刘冬煜,Huamin Qu,2014,2019,Hong Kong University of Science and Technology,University of California Davis,https://dongyu.tech/,,,38.5338,-121.7908
Ke Xu,徐科,Huamin Qu,2015,2019,Hong Kong University of Science and Technology,Nanjing University,https://lukexuke.github.io/,,,32.0537,118.7717
Mingqian Zhao,赵鸣谦,Huamin Qu,2015,2019,Hong Kong University of Science and Technology,,https://www.researchgate.net/scientific-contributions/Mingqian-Zhao-2163069325,,,,
Xuanwu Yue,岳轩武,Huamin Qu,2016,2019,Hong Kong University of Science and Technology,,https://yxw.is,,,,
Zhutian Chen,陈竹天,Huamin Qu,2015,2019,Hong Kong University of Science and Technology,University of Minnesota,https://chenzhutian.org/,,,44.9718,-93.2338
Qiaomu Shen,申乔木,Huamin Qu,2016,2019,Hong Kong University of Science and Technology,"Beijing Institute of Technology, Zhuhai, China",https://www.shenqiaomu.com/,,,22.3661,113.5334
Yao Ming,明遥,Huamin Qu,2016,2019,Hong Kong University of Science and Technology,,https://yaoming.ai ,,,,
Qianwen Wang,汪倩雯,Huamin Qu,2016,2019,Hong Kong University of Science and Technology,University of Minnesota,https://qianwen.info/,,,44.9718,-93.2338
Haipeng Zeng,曾海鹏,Huamin Qu,2015,2020,Hong Kong University of Science and Technology,Sun Yat-sen University,https://www.zenghp.org/,,,23.0965,113.2989
Meng Xia,夏梦,Huamin Qu,2017,2020,Hong Kong University of Science and Technology,Texas A&M University,https://www.xiameng.org/ ,https://www.xiameng.org/DreamLab/ ,Bridge the Gap between Educators and Students in Online Learning: A Visualization Approach based on Problem solving Data,30.6187,-96.3364
Xinhuan Shu,舒欣欢,Huamin Qu,2017,2021,Hong Kong University of Science and Technology,Newcastle University,https://shuxinhuan.github.io/,,,54.9792,-1.6147
Dong Sun,孙冬,Huamin Qu,2017,2021,Hong Kong University of Science and Technology,,https://www.linkedin.com/in/%E5%86%AC-%E5%AD%99-3613841b0/?originalSubdomain=cn,https://sundongcandy.github.io/,,,
Yifang Wang,王懿芳,Huamin Qu,2018,2022,Hong Kong University of Science and Technology,Florida State University,https://wangyifang.top/,https://www.linkedin.com/in/yifanginhz/,Interactive Visual Analytics for Career Mobility ,30.4421,-84.298
Aoyu Wu,伍翱宇,Huamin Qu,2019,2022,Hong Kong University of Science and Technology,Harvard University,https://wowjyu.github.io/,,,42.3744,-71.1182
Leni Yang,杨乐妮,Huamin Qu,2018,2022,Hong Kong University of Science and Technology,Inria Bordeaux,https://yleni.github.io/,,Guidance on Data Storytelling: Making Data Stories Understandable and Compelling for the General Public,44.808,-0.6001
Xingbo Wang,王星博,Huamin Qu,2018,2022,Hong Kong University of Science and Technology,,https://andy-xingbowang.com/,,,,
Furui Cheng,程富瑞,Huamin Qu,2018,2022,Hong Kong University of Science and Technology,ETH Zürich,https://www.furuicheng.tech/,,,47.3764,8.5476
Zhenhua Xu,许振华,Huamin Qu,2018,2023,Hong Kong University of Science and Technology,Tsinghua University,https://tonyxuqaq.github.io/,,,39.9997,116.3264
Zezheng Feng,冯泽正,Huamin Qu,2019,2023,Hong Kong University of Science and Technology,"Northeastern University, China",https://jerrodfeng.github.io/,http://faculty.neu.edu.cn/fengzezheng/zh_CN/index.htm,Towards a Better Understanding of Urban Environment: A Visual Analytics Perspective,41.7636,123.4114
Wai Tong,唐瑋,Huamin Qu,2018,2023,Hong Kong University of Science and Technology,Texas A&M University,https://wtong2017.github.io/,https://www.linkedin.com/in/wai-tong-0624211b2/,,30.6187,-96.3364
Xian Xu,徐娴,Huamin Qu,2020,2023,Hong Kong University of Science and Technology,Lingnan University,https://xxuxian.github.io/ ,https://www.linkedin.com/in/xian-xu-346103281/ ,,22.411,113.9831
Wenchao Li,李文超,Huamin Qu,2017,2023,Hong Kong University of Science and Technology,,https://wenchao.li/,,,,
Haotian Li,李昊天,Huamin Qu,2020,2024,Hong Kong University of Science and Technology,,https://haotian-li.com/,,,,
Ka Yan Fung,冯嘉欣,Huamin Qu,2021,2024,Hong Kong University of Science and Technology,The Education University of Hong Kong,https://fungkayan.com/,,,22.467,114.1936
Yu-Ho Lo,,Huamin Qu,2018,2024,Hong Kong University of Science and Technology,,https://leoyuholo.com/,,,,
Linping Yuan,袁林萍,Huamin Qu,2019,2024,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,https://yuanlinping.top/,,,,
Zhihua Jin,金志华,Huamin Qu,2019,2024,Hong Kong University of Science and Technology,,https://jnzhihuoo1.github.io/,https://www.linkedin.com/in/zhihua-jin-526194162,,,
Yanna Lin,林燕娜,Huamin Qu,2020,2024,Hong Kong University of Science and Technology,University of Waterloo,https://yannahhh.github.io/,,,43.4723,-80.5449
Jianben He,何简奔,Huamin Qu,2019,2024,Hong Kong University of Science and Technology,,https://jessiehe970311.github.io/,,,,
Xiaofu Jin,金晓芙,Huamin Qu,2022,2025,Hong Kong University of Science and Technology,Aalto University,https://www.linkedin.com/in/xiaofu-jin-75932b111/?originalSubdomain=cn,,,60.1858,24.8271
Yifan Cao,曹艺凡,Huamin Qu,2020,2025,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,https://yifancao.com/,,,,
Kento Shigyo,执行健人,Huamin Qu,2020,2025,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,https://kenglwo.github.io/,,,,
Zi-Wei Wu,吴子薇,Huamin Qu,2020,2025,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,https://wuziwei.me/,,Alter Nature: Exploring Life in Computational Art,,
Liwenhan Xie,谢李文含,Huamin Qu,2020,2026,Hong Kong University of Science and Technology,,https://shellywhen.github.io,,,,
Kam-Kwai Wong,黄锦畦,Huamin Qu,2020,2026,Hong Kong University of Science and Technology,Hong Kong University of Science and Technology,https://kamkwai.com,,,,
Yuzhe Jiang,蒋宇哲,Huamin Qu,2018,,Hong Kong University of Science and Technology,,https://www.linkedin.com/in/yuzhe-jiang-067a811b3,,,,
Zhengyang Ma,马正阳,Huamin Qu,2020,,Hong Kong University of Science and Technology,,https://cma.hkust-gz.edu.cn/research-students/kenny-ma-3/amp/,,,,
Rui Sheng,盛睿,Huamin Qu,2021,,Hong Kong University of Science and Technology,,https://dylansheng.github.io/,,,,
Haobo Li,李昊波,Huamin Qu,2022,,Hong Kong University of Science and Technology,,https://hobolee.github.io/,,,,
Zixin Chen,陈子昕,Huamin Qu,2022,,Hong Kong University of Science and Technology,,https://cinderd.github.io/,,,,
Kentaro Takahira,高比良健太郎,Huamin Qu,2022,,Hong Kong University of Science and Technology,,https://shenleixian.github.io/,,,,
Yihan Hou,侯伊涵,Huamin Qu,2022,,Hong Kong University of Science and Technology (Guangzhou),,https://yihanhou.work/home/,,,,
Rui Hu,,Huamin Qu,2022,,Hong Kong University of Science and Technology,,https://personal.hkust-gz.edu.cn/juandu/IDADM-Lab/author/rui-hu/,,,,
Zhonghua Sheng,盛中华,Huamin Qu,2023,,Hong Kong University of Science and Technology,,https://shengzhonghua.github.io/,,,,
Yihao Meng,蒙祎昊,Huamin Qu,2023,,Hong Kong University of Science and Technology,,https://yihao-meng.github.io/,,,,
Leixian Shen,沈磊贤,Huamin Qu,2023,,Hong Kong University of Science and Technology,,https://shenleixian.github.io/,,,,
Barakeel Fanseu Kamhoua,,Huamin Qu,2023,,Hong Kong University of Science and Technology,,https://barakeelfanseukamhoua.github.io/,,,,
Yu-Zhe Shi,师宇哲,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://shi-yu-zhe.github.io/,,,,
Yujia He,何雨佳,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://edwardwhe.github.io/,,,,
Shuchang Xu,许书畅,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://shuchangxu.github.io/,,,,
Wenshuo Zhang,张文硕,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://zhang373.github.io/,,,,
Hanlu Ma,马菡璐,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://hanlumaaa.github.io/,,,,
Yuying Tang,唐誉瑛,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://yuyingtang1999.github.io/,,,,
Jiayi Zhou,周家怡,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://jiayzhou.github.io/,,,,
Runhua Zhang,张润花,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://www.runhuazhang.com/,,,,
Zheng Wei,魏征,Huamin Qu,2024,,Hong Kong University of Science and Technology,,https://www.zhengwei302.com/,,,,
Baoyang Chen,陈抱阳,Huamin Qu,2024,,Hong Kong University of Science and Technology,,baoyangchen.com,,,,
Chun-Yin Li,李俊贤,Huamin Qu,2025,,Hong Kong University of Science and Technology,,,,,,
Yue Yu,虞越,Huamin Qu,2025,,Hong Kong University of Science and Technology,,https://bruceyy.com/,,,,
Xiao Xie,谢潇,Yingcai Wu,2015,2020,Zhejiang University,Zhejiang University,https://ssxiexiao.github.io/,,,,
Tan Tang,唐谈,Yingcai Wu,2016,2021,Zhejiang University,Zhejiang University,https://tantang.org,,,,
Di Weng,翁荻,Yingcai Wu,2016,2021,Zhejiang University,Zhejiang University,https://dwe.ng,,,,
Ji Lan,兰吉,Yingcai Wu,2016,2022,Zhejiang University,City University of Hong Kong,lanjizju.github.io,,,,
Shuainan Ye,叶帅男,Yingcai Wu,2018,2022,Zhejiang University,Zhejiang University,,,,,
Jiachen Wang,王伽臣,Yingcai Wu,2018,2023,Zhejiang University,Zhejiang University,https://www.wjc-vis.com/,,Intelligent Data Analysis in Table Tennis,,
Zikun Deng,邓紫坤,Yingcai Wu,2018,2023,Zhejiang University,South China University of Technology,https://zkdeng.org/,,,23.1289,113.2532
Dazhen Deng,邓达臻,Yingcai Wu,2018,2023,Zhejiang University,Zhejiang University,https://dengdazhen.github.io,,,,
Ran Chen,陈然,Yingcai Wu,2020,2023,Zhejiang University,,,,,,
Sadia Rubab,,Yingcai Wu,2017,2024,Zhejiang University,,,,,,
Junxiu Tang,唐俊修,Yingcai Wu,2019,2024,Zhejiang University,Northwestern University,https://ahugh19.github.io/,,,42.0565,-87.6753
Anqi Cao,曹安琪,Yingcai Wu,2019,2024,Zhejiang University,Zhejiang University,https://angelacao28.github.io/,,,,
Jiang Wu,吴江,Yingcai Wu,2019,2024,Zhejiang University,,https://wujiang5521.github.io ,,,,
Kai Xiong,熊凯,Yingcai Wu,2020,2024,Zhejiang University,,https://xkkevin.github.io/,,,,
Xiwen Cai,蔡西文,Yingcai Wu,2019,2025,Zhejiang University,,,,,,
Yihong Wu,吴奕竑,Yingcai Wu,2020,2025,Zhejiang University,,,,,,
Xiangtong Chu,储向童,Yingcai Wu,2020,2025,Zhejiang University,,https://sheaton1.github.io/,,,,
Renzhong Li,李仁钟,Yingcai Wu,2020,2025,Zhejiang University,,https://renzhongli.github.io/,,,,
Lu Ying,应璐,Yingcai Wu,2020,2025,Zhejiang University,,https://yiyinyinguu.github.io,,,,
Shuhan Liu,刘书含,Yingcai Wu,2021,,Zhejiang University,,https://susicaliu.github.io/,,,,
Yanhong Wu,吴晏宏,Yingcai Wu,2021,,Zhejiang University,,,,,,
Liqi Cheng,程礼棋,Yingcai Wu,2022,,Zhejiang University,,,,,,
Xiyu Meng,孟析宇,Yingcai Wu,2022,,Zhejiang University,,,,,,
Lingyu Meng,孟令雨,Yingcai Wu,2023,,Zhejiang University,,https://kevinmeng49.github.io/,,,,
Ji Ma,马骥,Yingcai Wu,2023,,Zhejiang University,,https://csjima.site,,,,
Jianing Yin,殷佳宁,Yingcai Wu,2023,,Zhejiang University,,,,,,
Zhongsu Luo,罗中粟,Yingcai Wu,2023,,Zhejiang University,,https://maple-possum-c4d.notion.site/Zhongsu-LUO-9a76b04931a848179b6f8488033b3a2a,,,,
Yuan Tian,田原,Yingcai Wu,2023,,Zhejiang University,,,,,,
Yuchen He,何宇辰,Yingcai Wu,2024,,Zhejiang University,,https://yche.site,,,,
Yunfan Zhou,周云帆,Yingcai Wu,2024,,Zhejiang University,,https://yunfzhou.github.io/,,,,
Yangtian Liu,刘阳天,Yingcai Wu,2024,,Zhejiang University,,,,,,
Zihan Xu,徐紫菡,Yingcai Wu,2024,,Zhejiang University,,http://zihx.top/,,,,
Chuhan Zhang,张楚涵,Yingcai Wu,2024,,Zhejiang University,,,,,,
Hongyi Cen,岑泓毅,Yingcai Wu,2024,,Zhejiang University,,,,,,
Ziao Liu,刘子奥,Xiao Xie,2023,,Zhejiang University,,https://ziao-liu.github.io/,,,,
Zhenning Chen,陈振宁,Di Weng,2024,,Zhejiang University,,,,,,
Jiawen Zhu,朱甲文,Di Weng,2025,,Zhejiang University,,,,,,
Weichen Sun,孙炜辰,Tan Tang,2024,,Zhejiang University,,,,,,
Hanze Jia,贾涵泽,Tan Tang,2024,,Zhejiang University,,,,,,
Yihan Gao,高一涵,Tan Tang,2025,,Zhejiang University,,,,,,
Yuxiao Yang,杨雨潇,Tan Tang,2025,,Zhejiang University,,,,,,
Jiaqi Liang,梁嘉琦,Jiachen Wang,2025,,Zhejiang University,,,,,,
Chenghao Wang,王晨昊,Jiachen Wang,2025,,Zhejiang University,,,,,,
Jiabao Huang,黄家宝,Zikun Deng,2024,,South China University of Technology,,,,,,
Junxian Liu,刘俊贤,Zikun Deng,2025,,South China University of Technology,,,,,,
Shifu Chen,陈时富,Dazhen Deng,2024,,Zhejiang University,,,,,,
Shunan Guo,郭姝男,Nan Cao,2016,2019,Tongji University,,https://research.adobe.com/person/shunan-guo/,https://www.guoshunan.com/,,,
Zhuochen Jin,金卓宸,Nan Cao,2017,2021,Tongji University,,,,,,
Danqing Shi,史丹青,Nan Cao,2018,2022,Tongji University,Lund University,https://sdq.github.io/,,,55.7119,13.2035
Xingyu Lan,蓝星宇,Nan Cao,2019,2022,Tongji University,Fudan University,https://olivialan.github.io/,,,31.2927,121.4928
Zui Chen,陈最,Nan Cao,2020,2021,Tongji University,,,,,,
Yi Guo,郭熠,Nan Cao,2020,2024,Tongji University,,https://guoyi118.github.io/,,,,
Xueyang Wang,汪雪阳,Nan Cao,2022,,Tongji University,,,,,,
Chao Yuan,袁潮,Nan Cao,2022,,Tongji University,,,,,,
Chuer Chen,陈楚儿,Nan Cao,2023,,Tongji University,,,,,,
Yi He,何一,Nan Cao,2023,,Tongji University,,,,,,
Jiazhe Wang,王嘉喆,Nan Cao,2023,,Tongji University,,,,,,
Yike Wang,王亦可,Nan Cao,2024,,Tongji University,,,,,,
Ziqing Qian,钱姿青,Nan Cao,2024,,Tongji University,,,,,,
Shengqi Dang,党圣奇,Nan Cao,2025,,Tongji University,,,,,,
Yiyu Chen,陈艺雨,Nan Cao,2025,,Tongji University,,,,,,
Lingyu Li,李玲玉,Siwei Fu,2025,,Zhejiang University,,,,,,
Songheng Zhang,张崧恒,Yong Wang,2021,,Singapore Management University,,https://alexanderzsh.github.io,,,,
Shaolun Ruan,阮劭伦,Yong Wang,2022,2025,Singapore Management University,,https://shaolun-ruan.com,,,,
Manusha Karunathilaka,,Yong Wang,2023,,Singapore Management University,,https://www.manusha-karunathilaka.org,,,,
Xiaolin Wen,温啸林,Yong Wang,2025,,Nanyang Technological University,,https://wenxiaolin.com/,,,,
Gnanavel Nishaanthini,,Yong Wang,2025,,Nanyang Technological University,,https://gnishaanthini.github.io/,,,,
Sritharan Niruthikka,,Yong Wang,2025,,Nanyang Technological University,,https://niruthikka24.github.io/,,,,
Yuqi Liu,,Qing Chen,2025,,Tongji University,,,,,,
Xuechen Li,,Qing Chen,2025,,Tongji University,,,,,,
Laixin Xie,谢莱鑫,Quan Li,2022,,ShanghaiTech University,,https://laixinn.github.io/,,,,
Yang Ouyang,欧阳阳,Quan Li,2023,,ShanghaiTech University,,https://cat-ouyang.github.io/,,,,
Longfei Chen,陈龙飞,Quan Li,2024,,ShanghaiTech University,,https://chenlf126.github.io/,,,,
Yuansong Xu,徐源松,Quan Li,2025,,ShanghaiTech University,,,,,,
Yueqiao Chen,,Dongyu Liu,2024,,University of California Davis,,https://www.linkedin.com/in/yueqiao-chen-a82b89189/,,,,
Yu-Chia Huang,,Dongyu Liu,2025,,University of California Davis,,https://www.linkedin.com/in/yu-chia-huang-b88b0724b,,,,
Madhumitha Venkatesan,,Dongyu Liu,2025,,University of California Davis,,https://www.linkedin.com/in/madhumitha-venkatesan-28baa11b4,,,,
Jianxing Zhao,,Dongyu Liu,2025,,University of California Davis,,,,,,
Xianhao Liu,刘晛豪,Zhutian Chen,2024,,University of Minnesota,,https://carton22.github.io/,,,,
Pan Hao,,Qianwen Wang,2024,,University of Minnesota,,,,,,
Sitong Pan,,Qianwen Wang,2025,,University of Minnesota,,,,,,
Yi Wen,,Meng Xia,2024,,Texas A&M University,,https://cyberwenyi2357.github.io/,,,,
Fatemeh Mirhosseini,,Meng Xia,2024,,Texas A&M University,,https://its-fatemeh-mh.github.io/,,,,
Jiwon Chun,,Meng Xia,2024,,Texas A&M University,,https://jiwonchun.notion.site/Jiwon-Chun-08d6427adf024d6c9a0af8ee1909806f,,,,
Xin Shu,舒心,Xinhuan Shu,2024,,Newcastle University,,,,,,
Bhasura Gunawardhana,,Wai Tong,2025,,Texas A&M University,,,,,,
Tiansu Chen,,Wai Tong,2025,,Texas A&M University,,,,,,
